goos: linux
goarch: amd64
pkg: github.com/VeloxCoding/hazedb
cpu: AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          
BenchmarkCountByIndex_hazedb_Mem-32         	11033668	       110.5 ns/op	     104 B/op	       4 allocs/op
BenchmarkCountByIndex_hazedb_Mem-32         	10914334	       110.5 ns/op	     104 B/op	       4 allocs/op
BenchmarkCountByIndex_hazedb_Typed-32       	13852332	        83.26 ns/op	      56 B/op	       2 allocs/op
BenchmarkCountByIndex_hazedb_Typed-32       	14322242	        79.47 ns/op	      56 B/op	       2 allocs/op
BenchmarkCountByIndex_hazedb_Typed-32       	14616286	        78.96 ns/op	      56 B/op	       2 allocs/op
BenchmarkCountByIndex_SQLiteMem-32          	  398455	      2892 ns/op	     512 B/op	      17 allocs/op
BenchmarkCountByIndex_SQLiteMem-32          	  426235	      2879 ns/op	     512 B/op	      17 allocs/op
BenchmarkCountByIndex_SQLiteMem-32          	  421003	      2854 ns/op	     512 B/op	      17 allocs/op
BenchmarkCountByIndex_hazedb_JSON-32        	19889305	        58.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkCountByIndex_hazedb_JSON-32        	20635736	        58.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkCountByIndex_hazedb_JSON-32        	20444751	        58.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkUpdateByIndex_hazedb_Mem-32        	 5131734	       236.3 ns/op	     143 B/op	       5 allocs/op
BenchmarkUpdateByIndex_hazedb_Mem-32        	 5118259	       235.6 ns/op	     143 B/op	       5 allocs/op
BenchmarkUpdateByIndex_hazedb_Mem-32        	 5106757	       234.2 ns/op	     143 B/op	       5 allocs/op
BenchmarkUpdateByIndex_SQLiteMem-32         	 1083602	      1087 ns/op	     247 B/op	       9 allocs/op
BenchmarkUpdateByIndex_SQLiteMem-32         	 1106592	      1088 ns/op	     247 B/op	       9 allocs/op
BenchmarkUpdateByIndex_SQLiteMem-32         	 1104442	      1086 ns/op	     247 B/op	       9 allocs/op
BenchmarkUpdateByScan_hazedb_Mem-32         	   18771	     62332 ns/op	     479 B/op	       9 allocs/op
BenchmarkUpdateByScan_hazedb_Mem-32         	   18430	     63221 ns/op	     479 B/op	       9 allocs/op
BenchmarkUpdateByScan_hazedb_Mem-32         	   18346	     63852 ns/op	     479 B/op	       9 allocs/op
BenchmarkUpdateByScan_SQLiteMem-32          	    6297	    193467 ns/op	     246 B/op	       9 allocs/op
BenchmarkUpdateByScan_SQLiteMem-32          	    6189	    196792 ns/op	     246 B/op	       9 allocs/op
BenchmarkUpdateByScan_SQLiteMem-32          	    6368	    189220 ns/op	     246 B/op	       9 allocs/op
BenchmarkDeleteByIndex_hazedb_Mem-32        	  395631	      3338 ns/op	      66 B/op	       3 allocs/op
BenchmarkDeleteByIndex_hazedb_Mem-32        	  367210	      3467 ns/op	      65 B/op	       3 allocs/op
BenchmarkDeleteByIndex_hazedb_Mem-32        	  337501	      3668 ns/op	      64 B/op	       3 allocs/op
BenchmarkDeleteByIndex_SQLiteMem-32         	   83109	     14359 ns/op	     160 B/op	       7 allocs/op
BenchmarkDeleteByIndex_SQLiteMem-32         	   92130	     12556 ns/op	     160 B/op	       7 allocs/op
BenchmarkDeleteByIndex_SQLiteMem-32         	   95337	     12904 ns/op	     160 B/op	       7 allocs/op
BenchmarkDeleteByScan_hazedb_Mem-32         	   18558	     63460 ns/op	     225 B/op	       5 allocs/op
BenchmarkDeleteByScan_hazedb_Mem-32         	   18212	     66149 ns/op	     225 B/op	       5 allocs/op
BenchmarkDeleteByScan_hazedb_Mem-32         	   17968	     68337 ns/op	     225 B/op	       5 allocs/op
BenchmarkDeleteByScan_SQLiteMem-32          	    6007	    216655 ns/op	     160 B/op	       7 allocs/op
BenchmarkDeleteByScan_SQLiteMem-32          	    5683	    206647 ns/op	     160 B/op	       7 allocs/op
BenchmarkDeleteByScan_SQLiteMem-32          	    6079	    200737 ns/op	     160 B/op	       7 allocs/op
BenchmarkJoinFiltered_SQLiteMem-32          	  138892	      8220 ns/op	    1336 B/op	      78 allocs/op
BenchmarkJoinFiltered_SQLiteMem-32          	  147776	      8096 ns/op	    1336 B/op	      78 allocs/op
BenchmarkJoinFiltered_SQLiteMem-32          	  148060	      8149 ns/op	    1336 B/op	      78 allocs/op
BenchmarkJoinLeftFiltered_SQLiteMem-32      	  143172	      8539 ns/op	    1352 B/op	      78 allocs/op
BenchmarkJoinLeftFiltered_SQLiteMem-32      	  136352	      8398 ns/op	    1352 B/op	      78 allocs/op
BenchmarkJoinLeftFiltered_SQLiteMem-32      	  141577	      8402 ns/op	    1352 B/op	      78 allocs/op
BenchmarkJoinRightFiltered_SQLiteMem-32     	     366	   3270025 ns/op	    1336 B/op	      78 allocs/op
BenchmarkJoinRightFiltered_SQLiteMem-32     	     366	   3254902 ns/op	    1336 B/op	      78 allocs/op
BenchmarkJoinRightFiltered_SQLiteMem-32     	     367	   3248625 ns/op	    1336 B/op	      78 allocs/op
BenchmarkJoinPoint_SQLiteMem-32             	  519562	      2197 ns/op	     632 B/op	      24 allocs/op
BenchmarkJoinPoint_SQLiteMem-32             	  560925	      2188 ns/op	     632 B/op	      24 allocs/op
BenchmarkJoinPoint_SQLiteMem-32             	  542200	      2204 ns/op	     632 B/op	      24 allocs/op
BenchmarkJoinNoWhereLimit_SQLiteMem-32      	  187375	      6326 ns/op	    1280 B/op	      76 allocs/op
BenchmarkJoinNoWhereLimit_SQLiteMem-32      	  188116	      6317 ns/op	    1280 B/op	      76 allocs/op
BenchmarkJoinNoWhereLimit_SQLiteMem-32      	  190690	      6257 ns/op	    1280 B/op	      76 allocs/op
BenchmarkJoinOrderedNoWhere_SQLiteMem-32    	  129621	      9272 ns/op	    1280 B/op	      76 allocs/op
BenchmarkJoinOrderedNoWhere_SQLiteMem-32    	  129276	      9214 ns/op	    1280 B/op	      76 allocs/op
BenchmarkJoinOrderedNoWhere_SQLiteMem-32    	  130064	      9339 ns/op	    1280 B/op	      76 allocs/op
PASS
ok  	github.com/VeloxCoding/hazedb	398.211s
